rvnm,stcd,stnm,tm,wptn,z
陆水,61705000,陆水水库(坝上),1741030500000,6,48.200
陆水,61705000,陆水水库(坝上),1741031100000,5,48.200
陆水,61705000,陆水水库(坝上),1741032600000,6,48.200
陆水,61705000,陆水水库(坝上),1741033500000,4,48.200
陆水,61705000,陆水水库(坝上),1741034100000,6,48.210
陆水,61705000,陆水水库(坝上),1741034700000,5,48.210
陆水,61705000,陆水水库(坝上),1741035900000,5,48.220
陆水,61705000,陆水水库(坝上),1741036800000,5,48.220
陆水,61705000,陆水水库(坝上),1741037700000,5,48.230
陆水,61705000,陆水水库(坝上),1741038300000,4,48.220
陆水,61705000,陆水水库(坝上),1741039500000,6,48.220
陆水,61705000,陆水水库(坝上),1741040700000,5,48.240
陆水,61705000,陆水水库(坝上),1741041300000,6,48.230
陆水,61705000,陆水水库(坝上),1741041900000,6,48.240
陆水,61705000,陆水水库(坝上),1741043100000,6,48.240
陆水,61705000,陆水水库(坝上),1741044000000,6,48.250
陆水,61705000,陆水水库(坝上),1741044600000,6,48.250
陆水,61705000,陆水水库(坝上),1741045200000,6,48.250
陆水,61705000,陆水水库(坝上),1741045800000,4,48.250
陆水,61705000,陆水水库(坝上),1741050300000,5,48.270
陆水,61705000,陆水水库(坝上),1741055100000,5,48.290
陆水,61705000,陆水水库(坝上),1741058700000,6,48.290
陆水,61705000,陆水水库(坝上),1741059600000,6,48.290
陆水,61705000,陆水水库(坝上),1741060200000,6,48.300
陆水,61705000,陆水水库(坝上),1741061700000,6,48.300
陆水,61705000,陆水水库(坝上),1741062900000,6,48.300
陆水,61705000,陆水水库(坝上),1741063500000,5,48.310
陆水,61705000,陆水水库(坝上),1741064700000,5,48.320
陆水,61705000,陆水水库(坝上),1741065900000,6,48.320
陆水,61705000,陆水水库(坝上),1741066500000,5,48.320
陆水,61705000,陆水水库(坝上),1741066800000,6,48.320
陆水,61705000,陆水水库(坝上),1741068600000,6,48.320
陆水,61705000,陆水水库(坝上),1741070100000,5,48.330
陆水,61705000,陆水水库(坝上),1741070700000,6,48.330
